Artist_ids,Artist_name,Artist_popularity,Artist_href,Artist_followers,Artist_genres,Artist_images,Types
30DpleISFEb7O9bqj2eEFL,Jesse Sola,16,https://api.spotify.com/v1/artists/30DpleISFEb7O9bqj2eEFL,12,,https://i.scdn.co/image/88867f9af2dd2bbe2565a6bdeb22649bad3cda43,artist
30EilmonVXftR1pWoALezP,The Physics House Band,30,https://api.spotify.com/v1/artists/30EilmonVXftR1pWoALezP,5035,math pop,https://i.scdn.co/image/2174a3cbd213cfc139def2e191471f551d574d15,artist
30fiiwr2EeZp1tAhzYCmyM,Big L,55,https://api.spotify.com/v1/artists/30fiiwr2EeZp1tAhzYCmyM,130813,alternative hip hop -  dirty south rap -  east coast hip hop -  gangster rap -  hardcore hip hop -  hip hop -  pop rap -  rap -  southern hip hop -  underground hip hop,https://i.scdn.co/image/cd2db931f75881a4bf11033ba07f30da5799944f,artist
30gg8QcPkH3JFFBBIIbdkM,Oliver Mampel,0,https://api.spotify.com/v1/artists/30gg8QcPkH3JFFBBIIbdkM,2,,https://i.scdn.co/image/5c878ccc49764f80f045c0260bfadf79334de8fe,artist
30GIF9g2UJ1ifn45kSMTFf,Maria McKee,41,https://api.spotify.com/v1/artists/30GIF9g2UJ1ifn45kSMTFf,7025,lilith,https://i.scdn.co/image/46d59c767cd016d85f10a251331ee1e34d997917,artist
30h0UnDBZXB7roi8FMerkH,Spencer Fort,0,https://api.spotify.com/v1/artists/30h0UnDBZXB7roi8FMerkH,90,,https://i.scdn.co/image/7ce630d02683ad49f153012630e5f35511286374,artist
30h1cDhDvSG9RZlfBHmt9C,Don Caballero,33,https://api.spotify.com/v1/artists/30h1cDhDvSG9RZlfBHmt9C,15056,dance-punk -  emo -  experimental rock -  math pop -  math rock -  noise rock -  post rock -  post-hardcore,https://i.scdn.co/image/37e74e8cf3bd617a7e8fe67e761324c453d17ffa,artist
30iuQTTr3l7QihN6KKgJrG,Antonio Machín,37,https://api.spotify.com/v1/artists/30iuQTTr3l7QihN6KKgJrG,11696,bolero -  mambo,https://i.scdn.co/image/e9ae9fbae8e5c4375b5af9a7b1969b030f7cab95,artist
30lCjq5SMlSvSVMePOollD,Johnny Holzum & Well Hungarians,0,https://api.spotify.com/v1/artists/30lCjq5SMlSvSVMePOollD,1,,https://i.scdn.co/image/e419d887de8fe70e0144e1092f6fb677f9fc60ea,artist
30lS0nAiufN21QDt6jtWFf,Spacebuoy,0,https://api.spotify.com/v1/artists/30lS0nAiufN21QDt6jtWFf,58,,https://i.scdn.co/image/94ac87b193bfb641960b4228229fe548ccdf72bf,artist
30Mx3ZadPgGZTcs38FvYP8,Paquito D'Rivera,35,https://api.spotify.com/v1/artists/30Mx3ZadPgGZTcs38FvYP8,8492,cuban rumba -  latin christmas -  latin jazz -  mambo,https://i.scdn.co/image/26b6a364b22f42aac116d6fae90978cce75975fe,artist
30NQ2eMCq7rXTwTrziBYOA,James Kaleth & Derik Andrews,0,https://api.spotify.com/v1/artists/30NQ2eMCq7rXTwTrziBYOA,2,,https://i.scdn.co/image/4211f14a876199f87a80dd35d99ece69a216aa30,artist
30nVcdna5VEviTZc5i6vxU,Split Screens,8,https://api.spotify.com/v1/artists/30nVcdna5VEviTZc5i6vxU,246,mod revival,https://i.scdn.co/image/0e95ebacd35cf5655ed68db8a0c118282e48b7c8,artist
30pmsFKt1eiB1f68Aywbdc,Mogo,1,https://api.spotify.com/v1/artists/30pmsFKt1eiB1f68Aywbdc,75,,https://i.scdn.co/image/e71d218398364636d682c21ba1a4eef3dbe62feb,artist
30Q6WyyuuRIByLU1gOoAjA,Lee4Real,0,https://api.spotify.com/v1/artists/30Q6WyyuuRIByLU1gOoAjA,4,,https://i.scdn.co/image/67dd08d7fb3ad431fedf565186c951f8df30119b,artist
30QbUq31PEXAT4QFYZyBAM,Swollen Members,47,https://api.spotify.com/v1/artists/30QbUq31PEXAT4QFYZyBAM,36342,canadian hip hop -  rap rock -  underground rap,https://i.scdn.co/image/d3d20abd03d4fa5faed38a0ba56df4b476c30721,artist
30QVhl9rXxKi6Umgph2LjS,Ravnsholt,0,https://api.spotify.com/v1/artists/30QVhl9rXxKi6Umgph2LjS,13,,https://i.scdn.co/image/fdd5ed8d855cbdddd04be36f54caa6fbe8414af9,artist
30Qy6UaNBUFWGjhi1WnUbp,Cerasella Aldea,0,https://api.spotify.com/v1/artists/30Qy6UaNBUFWGjhi1WnUbp,0,,https://i.scdn.co/image/f84a4d676ef8ec5777e9c60832c52dd750681835,artist
30R9paG1c5BGtNGle59VPq,Freddie McGregor,45,https://api.spotify.com/v1/artists/30R9paG1c5BGtNGle59VPq,14536,dancehall -  dub -  lovers rock -  reggae -  reggae fusion -  rock steady -  roots reggae -  world christmas,https://i.scdn.co/image/a1f805632eb1a01039c7c7e35523c49e2cb51da6,artist
